Title,Year,Rating,Votes,Genres,Runtime,Director,Top 3 Cast,Box Office
Ford v Ferrari,2019,8.1,,[],Runtime2 hours 32 minutes,James Mangold,"['Matt Damon', 'Christian Bale', 'Jon Bernthal']",226299480.0
Mary and Max,2009,8.1,,[],Runtime1 hour 32 minutes,Adam Elliot,"['Toni Collette', 'Philip Seymour Hoffman', 'Eric Bana']",1740791.0
The Deer Hunter,1979,8.1,,[],Runtime3 hours 3 minutes,Michael Cimino,"['Robert De Niro', 'Christopher Walken', 'John Cazale']",49080312.0
The Wages of Fear,1955,8.1,,[],Runtime2 hours 36 minutes,Henri-Georges Clouzot,"['Yves Montand', 'Charles Vanel', 'Peter van Eyck']",22326.0
The General,1927,8.1,,[],Runtime1 hour 18 minutes,Clyde Bruckman,"['Buster Keaton', 'Marion Mack', 'Glen Cavender']",1344.0
Mr. Smith Goes to Washington,1939,8.1,,[],Runtime2 hours 9 minutes,Frank Capra,"['James Stewart', 'Jean Arthur', 'Claude Rains']",146123.0
On the Waterfront,1954,8.1,,[],Runtime1 hour 48 minutes,Elia Kazan,"['Marlon Brando', 'Karl Malden', 'Lee J. Cobb']",3768.0
Logan,2017,8.1,,[],Runtime2 hours 17 minutes,James Mangold,"['Hugh Jackman', 'Patrick Stewart', 'Dafne Keen']",619180476.0
Wild Strawberries,1959,8.1,,[],Runtime1 hour 32 minutes,Ingmar Bergman,"['Victor Sjöström', 'Bibi Andersson', 'Ingrid Thulin']",81070.0
Rocky,1976,8.1,,[],Runtime2 hours,John G. Avildsen,"['Sylvester Stallone', 'Talia Shire', 'Burt Young']",117253345.0
The Third Man,1950,8.1,,[],Runtime1 hour 44 minutes,Carol Reed,"['Orson Welles', 'Joseph Cotten', 'Alida Valli']",1421864.0
Tokyo Story,1972,8.1,,[],Runtime2 hours 17 minutes,Yasujirô Ozu,"['Chishû Ryû', 'Chieko Higashiyama', 'Sô Yamamura']",93881.0
Spotlight,2015,8.1,,[],Runtime2 hours 9 minutes,Tom McCarthy,"['Mark Ruffalo', 'Michael Keaton', 'Rachel McAdams']",98690254.0
Maharaja,2024,8.4,,[],Runtime2 hours 21 minutes,Nithilan Saminathan,"['Vijay Sethupathi', 'Anurag Kashyap', 'Mamta Mohandas']",975543.0
The Big Lebowski,1998,8.1,,[],Runtime1 hour 57 minutes,Joel Coen,"['Jeff Bridges', 'John Goodman', 'Julianne Moore']",48261691.0
The Terminator,1984,8.1,,[],Runtime1 hour 47 minutes,James Cameron,"['Arnold Schwarzenegger', 'Linda Hamilton', 'Michael Biehn']",78371200.0
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,,[],Runtime2 hours 23 minutes,Gore Verbinski,"['Johnny Depp', 'Geoffrey Rush', 'Orlando Bloom']",654264546.0
The Seventh Seal,1958,8.1,,[],Runtime1 hour 36 minutes,Ingmar Bergman,"['Max von Sydow', 'Gunnar Björnstrand', 'Bengt Ekerot']",312104.0
La haine,1996,8.1,,[],Runtime1 hour 38 minutes,Mathieu Kassovitz,"['Vincent Cassel', 'Hubert Koundé', 'Saïd Taghmaoui']",760851.0
Room,2016,8.1,,[],Runtime1 hour 58 minutes,Lenny Abrahamson,"['Brie Larson', 'Jacob Tremblay', 'Sean Bridgers']",35402766.0
Jai Bhim,2021,8.6,,[],Runtime2 hours 44 minutes,T.J. Gnanavel,"['Suriya', 'Lijo Mol Jose', 'Manikandan K.']",
Hotel Rwanda,2005,8.1,,[],Runtime2 hours 1 minute,Terry George,"['Don Cheadle', 'Sophie Okonedo', 'Joaquin Phoenix']",33882243.0
Platoon,1987,8.1,,[],Runtime2 hours,Oliver Stone,"['Charlie Sheen', 'Tom Berenger', 'Willem Dafoe']",138546255.0
The Best Years of Our Lives,1947,8.1,,[],Runtime2 hours 50 minutes,William Wyler,"['Myrna Loy', 'Dana Andrews', 'Fredric March']",23667133.0
Before Sunset,2004,8.1,,[],Runtime1 hour 20 minutes,Richard Linklater,"['Ethan Hawke', 'Julie Delpy', 'Vernon Dobtcheff']",16506532.0
The Exorcist,1973,8.1,,[],Runtime2 hours 2 minutes,William Friedkin,"['Ellen Burstyn', 'Max von Sydow', 'Linda Blair']",430872776.0
The Sound of Music,1965,8.1,,[],Runtime2 hours 52 minutes,Robert Wise,"['Julie Andrews', 'Christopher Plummer', 'Eleanor Parker']",159500547.0
The Incredibles,2004,8.0,,[],Runtime1 hour 55 minutes,Brad Bird,"['Craig T. Nelson', 'Samuel L. Jackson', 'Holly Hunter']",631688498.0
The Wizard of Oz,1939,8.1,,[],Runtime1 hour 42 minutes,Victor Fleming,"['Judy Garland', 'Frank Morgan', 'Ray Bolger']",25637669.0
Hachi: A Dog's Tale,2010,8.1,,[],Runtime1 hour 33 minutes,Lasse Hallström,"['Richard Gere', 'Joan Allen', 'Cary-Hiroyuki Tagawa']",46749646.0
The Passion of Joan of Arc,1928,8.1,,[],Runtime1 hour 54 minutes,Carl Theodor Dreyer,"['Maria Falconetti', 'Eugene Silvain', 'André Berley']",22731.0
Rush,2013,8.1,,[],Runtime2 hours 3 minutes,Ron Howard,"['Daniel Brühl', 'Chris Hemsworth', 'Olivia Wilde']",96992516.0
Stand by Me,1986,8.1,,[],Runtime1 hour 29 minutes,Rob Reiner,"['Wil Wheaton', 'River Phoenix', 'Corey Feldman']",53525035.0
My Father and My Son,2005,8.2,,[],Runtime1 hour 52 minutes,Çagan Irmak,"['Çetin Tekindor', 'Fikret Kuskan', 'Hümeyra']",18612999.0
The Iron Giant,1999,8.1,,[],Runtime1 hour 26 minutes,Brad Bird,"['Eli Marienthal', 'Harry Connick Jr.', 'Jennifer Aniston']",23339506.0
Network,1976,8.1,,[],Runtime2 hours 1 minute,Sidney Lumet,"['Faye Dunaway', 'William Holden', 'Peter Finch']",23701317.0
A Silent Voice: The Movie,2016,8.1,,[],Runtime2 hours 10 minutes,Naoko Yamada,"['Miyu Irino', 'Saori Hayami', 'Aoi Yûki']",30819442.0
The Handmaiden,2017,8.1,,[],Runtime2 hours 25 minutes,Park Chan-wook,"['Kim Min-hee', 'Ha Jung-woo', 'Cho Jin-woong']",37863670.0
The Battle of Algiers,1967,8.1,,[],Runtime2 hours 1 minute,Gillo Pontecorvo,"['Brahim Hadjadj', 'Jean Martin', 'Yacef Saadi']",962002.0
To Be or Not to Be,1942,8.1,,[],Runtime1 hour 39 minutes,Ernst Lubitsch,"['Carole Lombard', 'Jack Benny', 'Robert Stack']",4578000.0
The Grapes of Wrath,1940,8.1,,[],Runtime2 hours 9 minutes,John Ford,"['Henry Fonda', 'Jane Darwell', 'John Carradine']",7304.0
I'm Still Here,2025,8.2,,[],Runtime2 hours 17 minutes,Walter Salles,"['Fernanda Torres', 'Fernanda Montenegro', 'Selton Mello']",36119150.0
Into the Wild,2007,8.0,,[],Runtime2 hours 28 minutes,Sean Penn,"['Emile Hirsch', 'Vince Vaughn', 'Catherine Keener']",56676733.0
Groundhog Day,1993,8.0,,[],Runtime1 hour 41 minutes,Harold Ramis,"['Bill Murray', 'Andie MacDowell', 'Chris Elliott']",71108778.0
The Help,2011,8.1,,[],Runtime2 hours 26 minutes,Tate Taylor,"['Viola Davis', 'Emma Stone', 'Octavia Spencer']",221802186.0
Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2021,8.2,,[],Runtime1 hour 57 minutes,Haruo Sotozaki,"['Natsuki Hanae', 'Akari Kitô', 'Yoshitsugu Matsuoka']",485541995.0
Gangs of Wasseypur,2012,8.2,,[],Runtime5 hours 21 minutes,Anurag Kashyap,"['Manoj Bajpayee', 'Nawazuddin Siddiqui', 'Tigmanshu Dhulia']",4384642.0
Andhadhun,2018,8.2,,[],Runtime2 hours 19 minutes,Sriram Raghavan,"['Ayushmann Khurrana', 'Tabu', 'Radhika Apte']",62475342.0
