Title,Year,Rating,Votes,Genres,Runtime,Director,Top 3 Cast,Box Office
Good Will Hunting,1998,8.3,,[],Runtime2 hours 6 minutes,Gus Van Sant,"['Robin Williams', 'Matt Damon', 'Ben Affleck']",225933435.0
Oldboy,2003,8.3,,[],Runtime2 hours,Park Chan-wook,"['Choi Min-sik', 'Yoo Ji-tae', 'Kang Hye-jeong']",17617021.0
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3,,[],Runtime1 hour 35 minutes,Stanley Kubrick,"['Peter Sellers', 'George C. Scott', 'Sterling Hayden']",9631984.0
Das Boot,1982,8.4,,[],Runtime2 hours 29 minutes,Wolfgang Petersen,"['Jürgen Prochnow', 'Herbert Grönemeyer', 'Klaus Wennemann']",11489051.0
Braveheart,1995,8.3,,[],Runtime2 hours 58 minutes,Mel Gibson,"['Mel Gibson', 'Sophie Marceau', 'Patrick McGoohan']",213216216.0
American Beauty,1999,8.3,,[],Runtime2 hours 2 minutes,Sam Mendes,"['Kevin Spacey', 'Annette Bening', 'Thora Birch']",356296601.0
High and Low,1963,8.4,,[],Runtime2 hours 23 minutes,Akira Kurosawa,"['Toshirô Mifune', 'Yutaka Sada', 'Tatsuya Nakadai']",64503.0
Princess Mononoke,1997,8.3,,[],Runtime2 hours 13 minutes,Hayao Miyazaki,"['Yôji Matsuda', 'Yuriko Ishida', 'Yûko Tanaka']",177642623.0
Your Name.,2017,8.4,,[],Runtime1 hour 46 minutes,Makoto Shinkai,"['Ryûnosuke Kamiki', 'Mone Kamishiraishi', 'Ryo Narita']",405340703.0
3 Idiots,2009,8.4,,[],Runtime2 hours 50 minutes,Rajkumar Hirani,"['Aamir Khan', 'Madhavan', 'Mona Singh']",60262836.0
Joker,2019,8.3,,[],Runtime2 hours 2 minutes,Todd Phillips,"['Joaquin Phoenix', 'Robert De Niro', 'Zazie Beetz']",1078958629.0
Once Upon a Time in America,1984,8.3,,[],Runtime3 hours 49 minutes,Sergio Leone,"['Robert De Niro', 'James Woods', 'Elizabeth McGovern']",5476126.0
